OFIA HUIQUIN,2,0.000000,0.000000
BLUETOOTH HEADSET,3,110.000000,300.000000
BLUETOOTH SMALL,1,150.000000,350.000000
RXD EARPHONES,5,50.000000,100.000000
DR.LEE EARPHONES,4,50.000000,100.000000
OFIA ORDINARY,-6,40.000000,100.000000
AKG SMALL PACK,1,70.000000,200.000000
AMAYA EARPHONES,1,0.000000,0.000000
OTG TYPE C,1,40.000000,150.000000
HP 2GB FLASH,-2,250.000000,500.000000
HP 4GB FLASH,1,280.000000,600.000000
SANDISK 4GB FLASH,-2,280.000000,600.000000
BOOST 8GB MEM,1,300.000000,600.000000
SANDISK 8GB FLASH,1,300.000000,700.000000
SANDISK 16 GB FLASH,2,300.000000,700.000000
HP 64 GB FLASH,5,550.000000,1200.000000
TOSHIBA 64 GB,-1,550.000000,1200.000000
SANDISK 64GB FLASH,-2,0.000000,0.000000
KENTO _ G SOLDERING ROD,1,200.000000,400.000000
NEELUX ROTATING BULB,1,180.000000,350.000000
DP 9W BULB,3,75.000000,170.000000
DP 18W,1,150.000000,250.000000
TRAVEL ADAPTER,2,35.000000,50.000000
AAA TOCEBAL,21,4.000000,10.000000
AA TOCEBAL,-39,5.000000,15.000000
AA EVEREADY,2,55.000000,100.000000
GETTOP,1,26.000000,50.000000
DOUBLE SOCKET (RP ROYAL),1,150.000000,300.000000
HTG SINGLE SOC,4,150.000000,250.000000
HTG DOUBLE SOCKET,1,250.000000,300.000000
ONE GAN SWITCH,1,70.000000,120.000000
TWO GAN SWITCH,1,80.000000,150.000000
TWIN PATRESS,1,35.000000,50.000000
TRICIRCLE 262 PADLOCK,1,40.000000,80.000000
TRICIRCLE 265 PADLOCK,2,110.000000,180.000000
MINDY 40MM PADLOCK,1,470.000000,550.000000
MINDY 40MM PADLOCK,1,470.000000,550.000000
MINDY 60MM PADLOCK,2,600.000000,800.000000
ROLINSON 40MM PADLOCK,1,150.000000,250.000000
STELLAR 50MM PADLOCK,1,260.000000,400.000000
AUDDY 60MM PADLOCK,1,320.000000,500.000000
RICHDOOR 45MM PADLOCK,1,0.000000,0.000000
STAR X 65MM PADLOCK,1,350.000000,500.000000
FEMALE AERIAL CONNECTOR,4,5.000000,10.000000
MALE AERIAL JACKS,4,10.000000,20.000000
PLASTICS AERIAL JACKS,5,10.000000,20.000000
FUSE,2,5.000000,15.000000
COAXIAL CABLE (BIG),44,10.000000,30.000000
RECHARGABLE 30W,-1,280.000000,450.000000
GLOBE TAPE,2,25.000000,60.000000
SUNUP TAPE,1,12.000000,30.000000
14-42 TV MOUNT,1,200.000000,500.000000
RILL SUPER GLUE,1,13.333333,30.000000
LIUGU SUPER GLUE,5,20.000000,50.000000
MONDIAL BOX 6KG REGULATOR,1,250.000000,550.000000
13KG REGULATOR,-1,280.000000,600.000000
ORGAS BURNER,-1,120.000000,300.000000
PREMIUM OR GAS BURNER,1,150.000000,350.000000
HADE GAS BURNER,1,260.000000,450.000000
AVC SCREWBULB,-1,70.000000,150.000000
RADIO CORD,1,30.000000,100.000000
12.5M COOKING GAS PIPE,1,70.000000,120.000000
8600 TRAVEL/VD CHARGER ADAPTER,2,55.000000,100.000000
HOT SALE CHARGER (COPY),4,140.000000,200.000000
ORAIMO ORIGINAL CHARGER,1,420.000000,750.000000
CASIM TYPE-C CHARGER,1,400.000000,750.000000
INPODS IL3/114/116,2,350.000000,600.000000
I15 INPODS,-2,350.000000,600.000000
AMAYA CABLE POLLYTHENE,1,40.000000,120.000000
DEPAK CABLE MICRO,-1,50.000000,150.000000
CA 101 TYPE C CABLE,1,60.000000,150.000000
POWER 3.0 5G CABLE MICRO,-1,70.000000,200.000000
ORAIMO BOX ANDROID,1,50.000000,150.000000
RECRESI ANDROID,4,100.000000,0.000000
DEPAK TYPE C,2,60.000000,150.000000
