5864825105747,OFIA HUIQUIN,ACCESSORY,EARPHONES,OFIA,15,1.0,250.0,,15.0,100.0,250.0
,BLUETOOTH HEADSET,ACCESSORY,EARPHONES,GENERIC,5,1.0,300.0,,5.0,120.0,300.0
,WIRELESS BUSSINES,ACCESSORY,EARPHONES,SUMSUNG,3,1.0,600.0,,3.0,250.0,600.0
, BLUETOOTH SMALL,ACCESSORY,EARPHONES,GENERIC,4,1.0,350.0,,5.0,150.0,350.0
4895180754722,VILLAON EARPHONES,ACCESSORY,EARPHONES,VILLAON,4,1.0,150.0,,5.0,55.0,150.0
4918410209820,RXD EARPHONES,ACCESSORY,EARPHONES,RXD,10,1.0,120.0,,10.0,50.0,120.0
6417182226922,DR.LEE EARPHONES,ACCESSORY,EARPHONES,DR.LEE,9,1.0,120.0,,10.0,50.0,120.0
4072523231014,OFIA ORDINARY,ACCESSORY,EARPHONES,OFIA,15,1.0,100.0,,15.0,40.0,100.0
6999969795659,AKG SMALL PACK,ACCESSORY,EARPHONES,SUMSUNG,8,1.0,200.0,,8.0,80.0,200.0
2022040300214,AMAYA EARPHONES,ACCESSORY,EARPHONES,AMAYA,5,1.0,250.0,,5.0,90.0,250.0
4895180775307,ORAIMO EARPHONES,ACCESSORY,EARPHONES,ORAIMO,4,1.0,400.0,,5.0,200.0,400.0
4895180742712,ORAIMO EARPHONES,ACCESSORY,EARPHONES,ORAIMO,5,1.0,400.0,,5.0,200.0,400.0
6925146950634,CELEBRAT EARPHONES,ACCESSORY,EARPHONES,CELEBRAT,3,1.0,400.0,,3.0,170.0,400.0
,T 166 EARPHONES,ACCESSORY,EARPHONES,MUSIC,5,1.0,250.0,,4.0,100.0,250.0
6860050562101,JAMAX EARPHONES,ACCESSORY,EARPHONES,JAMAX,4,1.0,300.0,,5.0,110.0,300.0
6918888883117,SMART PHONE HOLDER (TIKTOK),ACCESSORY,BRAKET,LBT,3,1.0,700.0,,3.0,350.0,700.0
4260113520666,DOUBLE OTG,ACCESSORY,OTG,GENERIC,4,1.0,200.0,,5.0,90.0,200.0
6945879795234,OTG TYPE C,ACCESSORY,OTG,GENERIC,3,1.0,150.0,,1.0,250.0,80.0
,OTG ANDROID,ACCESSORY,OTG,GENERIC,2,1.0,100.0,,5.0,30.0,100.0
`6291105492904,BOOST 2GB MEM,ACCESSORY,MEMORY CARD,BOOST,4,1.0,400.0,,5.0,230.0,400.0
619659129736,SANDISK 2GB FLASH,ACCESSORY,FLASH DISK,SANDISK,1,1.0,500.0,,2.0,250.0,500.0
